IdHecho,Rol,Sexo,Edad
2018-0051,peaton,F,57
2018-0052,peaton,M,78
2018-0053,conductor,M,43
2018-0054,peaton,F,86
2018-0055,conductor,M,21
2018-0056,peaton,F,69
2018-0057,conductor,M,33
2018-0058,conductor,M,26
2018-0059,conductor,M,54
2018-0060,peaton,M,51
2018-0061,conductor,M,51
2018-0062,peaton,M,32
2018-0063,peaton,F,28
2018-0064,conductor,M,30
2018-0065,conductor,M,35
2018-0066,peaton,M,73
2018-0067,pasajero_acompañante,F,81
2018-0068,conductor,M,21
2018-0069,ciclista,M,20
2018-0070,conductor,M,33
2018-0071,conductor,M,
2018-0072,conductor,M,27
2018-0073,peaton,F,67
2018-0074,conductor,M,25
2018-0075,peaton,M,23
2018-0076,conductor,M,73
2018-0077,conductor,M,58
2018-0078,peaton,M,27
2018-0079,peaton,M,
2018-0080,peaton,M,26
2018-0081,peaton,M,35
2018-0082,conductor,F,17
2018-0083,conductor,M,
2018-0084,peaton,M,45
2018-0085,pasajero_acompañante,F,22
2018-0085,conductor,M,30
2018-0086,peaton,M,40
2018-0087,peaton,M,75
2018-0088,conductor,M,
2018-0089,peaton,M,80
2018-0090,conductor,M,27
2018-0091,pasajero_acompañante,F,23
2018-0092,conductor,M,23
2018-0093,peaton,M,24
2018-0094,conductor,M,32
2018-0095,pasajero_acompañante,F,49
2018-0096,peaton,M,39
2018-0097,conductor,F,35
2018-0098,conductor,M,55
2018-0098,pasajero_acompañante,M,54
2018-0099,peaton,M,18
2018-0100,conductor,F,33
2018-0101,conductor,M,
2018-0102,conductor,M,20
2018-0103,peaton,M,1
2018-0104,conductor,M,22
2018-0105,peaton,F,56
2018-0106,conductor,M,27
2018-0107,peaton,F,62
2018-0108,conductor,M,37
2018-0109,peaton,M,34
2018-0110,peaton,M,60
2018-0111,conductor,M,28
2018-0112,conductor,F,28
2018-0113,conductor,M,20
2018-0114,conductor,M,23
2018-0115,peaton,M,42
2018-0116,peaton,M,48
2018-0117,conductor,M,30
2018-0118,peaton,F,80
2018-0120,peaton,F,51
2018-0121,peaton,F,72
2018-0122,conductor,M,33
2018-0124,conductor,M,44
2018-0125,peaton,M,29
2018-0126,conductor,M,27
2018-0127,conductor,M,29
2018-0128,pasajero_acompañante,M,49
2018-0128,pasajero_acompañante,F,39
2018-0129,conductor,M,37
2018-0130,conductor,M,
2018-0131,conductor,M,29
2018-0132,peaton,M,70
2018-0133,peaton,F,60
2018-0134,peaton,M,56
2018-0135,peaton,M,80
2018-0136,peaton,F,70
2018-0137,pasajero_acompañante,M,29
2018-0138,pasajero_acompañante,F,79
2018-0139,pasajero_acompañante,M,28
2018-0140,conductor,M,78
2018-0141,peaton,M,75
2018-0142,pasajero_acompañante,M,32
2018-0143,conductor,M,22
2019-0001,conductor,M,25
2019-0002,conductor,M,32
2019-0003,conductor,M,23
2019-0004,conductor,M,71
2019-0005,conductor,M,43
2019-0006,peaton,F,12
2019-0007,conductor,M,35
2019-0008,conductor,M,42
2019-0009,conductor,M,34
2019-0010,peaton,M,
2019-0010,peaton,M,59
2019-0011,peaton,M,
2019-0012,conductor,M,31
2019-0013,peaton,M,39
2019-0014,conductor,M,69
2019-0015,conductor,M,21
2019-0016,conductor,M,40
2019-0017,conductor,M,22
2019-0018,peaton,F,29
2019-0019,conductor,M,
2019-0020,conductor,M,43
2019-0021,conductor,M,23
2019-0023,conductor,M,34
2019-0024,conductor,M,32
2019-0025,peaton,M,27
2019-0026,peaton,M,
2019-0027,ciclista,M,37
2019-0028,peaton,F,
2019-0029,conductor,M,27
2019-0030,conductor,M,25
2019-0031,ciclista,M,20
2019-0032,peaton,F,83
2019-0034,conductor,M,
2019-0035,peaton,F,75
2019-0036,conductor,M,34
2019-0037,conductor,M,17
2019-0038,peaton,F,42
2019-0105,peaton,F,82
2019-0039,conductor,M,28
2019-0041,pasajero_acompañante,F,78
2019-0042,peaton,M,39
2019-0043,ciclista,F,
2019-0044,peaton,F,77
2019-0045,conductor,M,33
2019-0046,pasajero_acompañante,F,26
2019-0047,peaton,M,76
2019-0048,conductor,M,32
2019-0049,peaton,F,72
2019-0050,conductor,M,21
2019-0051,conductor,M,41
2019-0053,pasajero_acompañante,M,49
2019-0054,conductor,M,21
2019-0055,conductor,M,47
2019-0056,peaton,F,75
2019-0057,peaton,F,63
2019-0058,conductor,M,39
2019-0059,conductor,M,30
2019-0060,peaton,F,78
2019-0061,peaton,F,58
2019-0062,peaton,F,60
2019-0063,pasajero_acompañante,M,
2019-0064,conductor,M,20
2019-0065,peaton,F,55
2019-0066,peaton,M,40
2019-0067,conductor,M,35
2019-0068,conductor,M,53
2019-0069,conductor,M,43
2019-0070,conductor,M,25
2019-0071,peaton,M,
2019-0072,conductor,M,22
2019-0073,conductor,M,29
2019-0074,conductor,M,35
2019-0075,conductor,M,31
2019-0076,conductor,F,29
2019-0077,peaton,F,28
2019-0078,peaton,F,72
2019-0079,conductor,M,57
2019-0080,peaton,M,76
2019-0081,peaton,M,67
2019-0082,ciclista,M,47
2019-0083,conductor,M,73
2019-0084,ciclista,F,40
2019-0085,ciclista,M,20
2019-0086,conductor,M,29
2019-0087,conductor,M,41
2019-0088,peaton,M,27
2019-0089,peaton,F,92
2019-0090,peaton,M,67
2019-0091,peaton,M,35
2019-0092,peaton,M,37
2019-0093,ciclista,M,16
2019-0094,pasajero_acompañante,F,
2019-0095,conductor,M,
2019-0096,peaton,M,73
2019-0097,pasajero_acompañante,F,23
2019-0098,pasajero_acompañante,F,61
2019-0100,conductor,M,38
2019-0101,conductor,M,25
2019-0102,conductor,M,18
2019-0104,pasajero_acompañante,F,23
2020-0001,peaton,F,87
2020-0002,conductor,M,36
2020-0003,peaton,M,44
2020-0004,peaton,M,82
2020-0005,conductor,M,25
2020-0006,conductor,M,23
2020-0007,peaton,M,52
2020-0008,conductor,M,49
2020-0009,peaton,M,48
2020-0010,conductor,M,
2020-0011,conductor,M,31
2020-0012,peaton,F,66
2020-0013,peaton,F,58
2020-0014,conductor,M,
2020-0015,conductor,M,29
2020-0016,peaton,M,68
2020-0017,peaton,M,
2020-0018,conductor,M,31
2020-0019,peaton,F,80
2020-0020,peaton,F,74
2020-0021,peaton,F,87
2020-0022,pasajero_acompañante,M,44
2020-0023,conductor,M,44
2020-0024,conductor,M,53
2020-0025,peaton,M,
2020-0027,peaton,M,76
2020-0028,peaton,M,91
2020-0029,peaton,M,80
2020-0030,conductor,M,40
2020-0031,conductor,M,29
2020-0032,conductor,M,21
2020-0033,conductor,M,32
2020-0034,peaton,F,
2020-0035,conductor,M,40
2020-0036,peaton,M,72
2020-0037,peaton,M,38
2020-0038,conductor,M,46
2020-0038,conductor,M,64
2020-0040,conductor,M,
2020-0041,conductor,M,34
2020-0042,peaton,F,53
2020-0043,peaton,M,64
2020-0044,conductor,M,43
2020-0045,conductor,M,50
2020-0046,conductor,M,41
2020-0047,peaton,M,15
2020-0048,conductor,M,41
2020-0049,peaton,M,36
2020-0050,peaton,F,28
2020-0051,conductor,M,49
2020-0052,ciclista,M,44
2020-0053,pasajero_acompañante,M,27
2020-0054,ciclista,M,59
2020-0055,peaton,M,91
2020-0056,conductor,F,34
2020-0057,peaton,M,84
2020-0058,peaton,M,57
2020-0059,peaton,F,49
