ID,NVictimas,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado
2021-0059,1,2021,7,1,avenida,"garay, juan de av.",3,-58.39640740,-34.62783085,auto,objeto fijo
2021-0060,1,2021,7,12,avenida,"salguero, jeronimo",5,-58.41971993,-34.61112240,peaton,autobus
2021-0061,1,2021,7,9,avenida,"moreno, perito av.",4,-58.40544588,-34.65012801,peaton,de_carga
2021-0062,1,2021,7,7,avenida,la plata av.,4,-58.42003882,-34.64645957,auto,de_carga
2021-0063,1,2021,8,4,avenida,"alberdi, juan bautista av.",7,-58.46851293,-34.63348678,auto,auto
2021-0064,1,2021,8,20,gral paz,"paz, gral. av.",9,-58.52931141,-34.65422917,peaton,de_carga
2021-0065,1,2021,8,8,avenida,san juan av.,6,-58.42675754,-34.62699730,peaton,autobus
2021-0066,1,2021,8,20,avenida,lope de vega av.,11,-58.52933723,-34.61098186,peaton,autobus
2021-0067,1,2021,8,9,autopista,autopista 1 sur presidente arturo frondizi,1,-58.37910943,-34.62764718,moto,objeto fijo
2021-0068,1,2021,8,6,avenida,"beiro, francisco av.",11,-58.52161176,-34.61164474,moto,objeto fijo
2021-0069,1,2021,8,17,avenida,santa fe av.,14,-58.41354692,-34.58697680,peaton,auto
2021-0070,1,2021,8,8,avenida,"chilavert, martiniano, coronel",8,-58.43960781,-34.65470804,moto,de_carga
2021-0071,1,2021,8,16,calle,san luis,3,-58.40454610,-34.60003693,peaton,moto
2021-0072,1,2021,9,19,avenida,callao av.,2,-58.39303911,-34.59871111,peaton,auto
2021-0073,1,2021,9,12,avenida,del libertador av.,2,-58.39391034,-34.58405348,bicicleta,auto
2021-0074,1,2021,9,15,gral paz,"paz, gral. av.",12,-58.50073810,-34.54979510,moto,multiple
2021-0075,1,2021,9,14,calle,salta,1,-58.38281301,-34.62786038,peaton,de_carga
2021-0076,1,2021,10,6,avenida,"moreno, perito av.",7,-58.43980799,-34.65094083,moto,objeto fijo
2021-0077,1,2021,10,7,avenida,directorio av.,6,-58.44402387,-34.62933109,moto,de_carga
2021-0078,1,2021,10,6,avenida,independencia av.,6,-58.42779702,-34.62207347,moto,autobus
2021-0079,1,2021,10,3,calle,tucuman,3,-58.40944147,-34.60097942,peaton,auto
2021-0080,1,2021,10,16,avenida,arenales,1,-58.38277479,-34.59430160,moto,auto
2021-0081,1,2021,11,13,autopista,autopista 1 sur presidente arturo frondizi,4,-58.37627355,-34.63800916,moto,de_carga
2021-0082,1,2021,11,4,autopista,autopista 25 de mayo,3,-58.39591856,-34.62453459,moto,auto
2021-0083,1,2021,11,0,avenida,cabildo av.,13,-58.45829717,-34.56015762,moto,auto
2021-0084,1,2021,11,3,avenida,tapalque,9,-58.49142611,-34.64584795,auto,objeto fijo
2021-0085,1,2021,11,18,gral paz,"paz, gral. av.",12,-58.51271409,-34.57786555,moto,objeto fijo
2021-0086,1,2021,11,10,avenida,rivadavia av.,6,-58.44864864,-34.62352826,peaton,autobus
2021-0087,1,2021,11,11,calle,esmeralda,1,-58.37795815,-34.59167894,peaton,bicicleta
2021-0088,1,2021,12,15,calle,monroe,13,-58.45531707,-34.55555257,moto,auto
2021-0089,1,2021,12,1,avenida,gaona av.,11,-58.47633683,-34.62140594,moto,auto
2021-0090,1,2021,12,11,avenida,9 de julio av.,1,-58.38188582,-34.60256036,peaton,autobus
2021-0091,1,2021,12,23,calle,baigorria,10,-58.51989389,-34.62284918,moto,auto
2021-0092,1,2021,12,6,avenida,rivadavia av.,3,-58.40596860,-34.61011987,peaton,auto
2021-0093,1,2021,12,17,avenida,riestra av.,7,-58.43353773,-34.64561636,moto,auto
2021-0094,1,2021,12,1,autopista,"dellepiane, luis, tte. gral.",9,-58.46739825,-34.65117757,moto,auto
2021-0095,1,2021,12,0,avenida,gaona av.,11,-58.47293407,-34.61984745,moto,de_carga
2021-0096,1,2021,12,10,avenida,"peron, eva av.",9,-58.47066794,-34.65021673,auto,de_carga
2021-0097,1,2021,11,6,calle,padre carlos mujica,1,-58.37976155,-34.58679619,bicicleta,auto
