ID,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado,Rol,Sexo,Edad
2017-0008,2017,1,0,calle,"cabrera, jose a.",14,-58.43917004,-34.58494351,moto,autobus,conductor,M,29
2017-0009,2017,1,13,autopista,autopista 25 de mayo,5,-58.41595919,-34.62743346,moto,de_carga,conductor,M,36
2017-0010,2017,1,16,avenida,directorio av.,6,-58.4356488,-34.62828656,moto,auto,conductor,M,23
2017-0011,2017,1,2,gral paz,"paz, gral. av.",12,-58.5007381,-34.5497951,moto,objeto fijo,pasajero_acompañante,F,29
2017-0012,2017,1,14,calle,traful,4,-58.40969005,-34.6505529,moto,de_carga,conductor,M,30
2017-0013,2017,1,7,avenida,"iriarte, gral. av.",4,-58.38972622,-34.65098981,peaton,de_carga,peaton,M,4
2017-0014,2017,1,8,avenida,donado,12,-58.49185972,-34.55046754,moto,multiple,pasajero_acompañante,F,22
2017-0015,2017,2,15,avenida,cordoba av.,2,-58.39293417,-34.59963642,peaton,auto,peaton,M,82
2017-0016,2017,2,5,autopista,autopista 25 de mayo,1,-58.38099494,-34.62288231,moto,de_carga,conductor,M,27
2017-0017,2017,2,8,avenida,"justo, juan b. av.",14,-58.429012,-34.58095431,moto,auto,conductor,M,32
2017-0018,2017,2,7,gral paz,"paz, gral. av.",9,-58.50877521,-34.66977709,moto,auto,conductor,M,30
2017-0021,2017,2,5,calle,sarmiento,1,-58.38362373,-34.60509972,moto,autobus,conductor,M,43
2017-0024,2017,2,20,avenida,rivadavia av.,7,-58.46589308,-34.62955795,peaton,autobus,peaton,M,39
2017-0026,2017,2,5,avenida,"moreno, perito av.",4,-58.41842777,-34.64979057,auto,objeto fijo,pasajero_acompañante,F,23
2017-0026,2017,2,5,avenida,"moreno, perito av.",4,-58.41842777,-34.64979057,auto,objeto fijo,conductor,M,19
2017-0027,2017,2,21,avenida,caseros av.,1,-58.38332245,-34.6319325,peaton,auto,peaton,M,24
2017-0028,2017,2,9,avenida,gaona av.,6,-58.45475488,-34.61196327,peaton,auto,peaton,M,87
2017-0030,2017,3,8,avenida,mozart,9,-58.47010988,-34.65872088,auto,autobus,conductor,F,27
2017-0031,2017,3,1,calle,24 de noviembre,3,-58.4099756,-34.62873635,auto,objeto fijo,pasajero_acompañante,M,70
2017-0032,2017,3,5,gral paz,"paz, gral. av.",8,-58.48892175,-34.68359163,auto,auto,pasajero_acompañante,F,40
2017-0033,2017,3,7,gral paz,"paz, gral. av.",11,-58.52466448,-34.60325478,auto,auto,conductor,M,28
